"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       111	     0,888	       978	     0,000	 65535,000	     6,154	     6,154
       112	     0,896	      1026	     0,000	 65535,000	    54,154	    54,154
       113	     0,904	       978	     0,000	 65535,000	     6,154	     6,154
       114	     0,912	       994	     0,000	 65535,000	    22,154	    22,154
       115	     0,920	       946	     0,000	 65535,000	   -25,846	   -25,846
       116	     0,928	       946	     0,000	 65535,000	   -25,846	   -25,846
       117	     0,936	       914	     0,000	 65535,000	   -57,846	   -57,846
       118	     0,944	       994	     0,000	 65535,000	    22,154	    22,154
       119	     0,952	       930	     0,000	 65535,000	   -41,846	   -41,846
       120	     0,960	       962	     0,000	 65535,000	    -9,846	    -9,846
       121	     0,968	       946	     0,000	 65535,000	   -25,846	   -25,846
       122	     0,976	       994	     0,000	 65535,000	    22,154	    22,154
       123	     0,984	       962	     0,000	 65535,000	    -9,846	    -9,846
       124	     0,992	       994	     0,000	 65535,000	    22,154	    22,154
       125	     1,000	       978	     0,000	 65535,000	     6,154	     6,154
       126	     1,008	       978	     0,000	 65535,000	     6,154	     6,154
       127	     1,016	       978	     0,000	 65535,000	     6,154	     6,154
       128	     1,024	       946	     0,000	 65535,000	   -25,846	   -25,846
       129	     1,032	       930	     0,000	 65535,000	   -41,846	   -41,846
       130	     1,040	       930	     0,000	 65535,000	   -41,846	   -41,846
       131	     1,048	       930	     0,000	 65535,000	   -41,846	   -41,846
       132	     1,056	       978	     0,000	 65535,000	     6,154	     6,154
       133	     1,064	      1010	     0,000	 65535,000	    38,154	    38,154
       134	     1,072	       994	     0,000	 65535,000	    22,154	    22,154
       135	     1,080	       978	     0,000	 65535,000	     6,154	     6,154
       136	     1,088	      1010	     0,000	 65535,000	    38,154	    38,154
       137	     1,096	       978	     0,000	 65535,000	     6,154	     6,154
       138	     1,104	       946	     0,000	 65535,000	   -25,846	   -25,846
       139	     1,112	       994	     0,000	 65535,000	    22,154	    22,154
       140	     1,120	       946	     0,000	 65535,000	   -25,846	   -25,846
       141	     1,128	       962	     0,000	 65535,000	    -9,846	    -9,846
       142	     1,136	       930	     0,000	 65535,000	   -41,846	   -41,846
       143	     1,144	       978	     0,000	 65535,000	     6,154	     6,154
       144	     1,152	       978	     0,000	 65535,000	     6,154	     6,154
       145	     1,160	       978	     0,000	 65535,000	     6,154	     6,154
       146	     1,168	      1010	     0,000	 65535,000	    38,154	    38,154
       147	     1,176	      1010	     0,000	 65535,000	    38,154	    38,154
       148	     1,184	      1010	     0,000	 65535,000	    38,154	    38,154
       149	     1,192	      1010	     0,000	 65535,000	    38,154	    38,154
       150	     1,200	      1010	     0,000	 65535,000	    38,154	    38,154
       151	     1,208	       962	     0,000	 65535,000	    -9,846	    -9,846
       152	     1,216	       946	     0,000	 65535,000	   -25,846	   -25,846
       153	     1,224	       946	     0,000	 65535,000	   -25,846	   -25,846
       154	     1,232	       930	     0,000	 65535,000	   -41,846	   -41,846
       155	     1,240	       914	     0,000	 65535,000	   -57,846	   -57,846
       156	     1,248	       978	     0,000	 65535,000	     6,154	     6,154
       157	     1,256	       978	     0,000	 65535,000	     6,154	     6,154
       158	     1,264	       978	     0,000	 65535,000	     6,154	     6,154
       159	     1,272	       994	     0,000	 65535,000	    22,154	    22,154
       160	     1,280	       978	     0,000	 65535,000	     6,154	     6,154
