"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       242	     1,936	       962	     0,000	 65535,000	    12,308	    12,308
       243	     1,944	       962	     0,000	 65535,000	    12,308	    12,308
       244	     1,952	       946	     0,000	 65535,000	    -3,692	    -3,692
       245	     1,960	       946	     0,000	 65535,000	    -3,692	    -3,692
       246	     1,968	       978	     0,000	 65535,000	    28,308	    28,308
       247	     1,976	       962	     0,000	 65535,000	    12,308	    12,308
       248	     1,984	       978	     0,000	 65535,000	    28,308	    28,308
       249	     1,992	       978	     0,000	 65535,000	    28,308	    28,308
       250	     2,000	      1026	     0,000	 65535,000	    76,308	    76,308
       251	     2,008	       930	     0,000	 65535,000	   -19,692	   -19,692
       252	     2,016	       946	     0,000	 65535,000	    -3,692	    -3,692
       253	     2,024	       962	     0,000	 65535,000	    12,308	    12,308
       254	     2,032	       914	     0,000	 65535,000	   -35,692	   -35,692
       255	     2,040	       930	     0,000	 65535,000	   -19,692	   -19,692
       256	     2,048	       946	     0,000	 65535,000	    -3,692	    -3,692
       257	     2,056	       946	     0,000	 65535,000	    -3,692	    -3,692
       258	     2,064	       930	     0,000	 65535,000	   -19,692	   -19,692
       259	     2,072	       946	     0,000	 65535,000	    -3,692	    -3,692
       260	     2,080	       978	     0,000	 65535,000	    28,308	    28,308
       261	     2,088	       978	     0,000	 65535,000	    28,308	    28,308
       262	     2,096	       962	     0,000	 65535,000	    12,308	    12,308
       263	     2,104	       978	     0,000	 65535,000	    28,308	    28,308
       264	     2,112	       962	     0,000	 65535,000	    12,308	    12,308
       265	     2,120	       946	     0,000	 65535,000	    -3,692	    -3,692
       266	     2,128	       994	     0,000	 65535,000	    44,308	    44,308
       267	     2,136	       946	     0,000	 65535,000	    -3,692	    -3,692
       268	     2,144	      1010	     0,000	 65535,000	    60,308	    60,308
       269	     2,152	      1010	     0,000	 65535,000	    60,308	    60,308
       270	     2,160	       978	     0,000	 65535,000	    28,308	    28,308
       271	     2,168	       978	     0,000	 65535,000	    28,308	    28,308
       272	     2,176	       962	     0,000	 65535,000	    12,308	    12,308
       273	     2,184	       946	     0,000	 65535,000	    -3,692	    -3,692
       274	     2,192	       962	     0,000	 65535,000	    12,308	    12,308
       275	     2,200	       962	     0,000	 65535,000	    12,308	    12,308
       276	     2,208	       978	     0,000	 65535,000	    28,308	    28,308
       277	     2,216	       978	     0,000	 65535,000	    28,308	    28,308
       278	     2,224	      1010	     0,000	 65535,000	    60,308	    60,308
       279	     2,232	       994	     0,000	 65535,000	    44,308	    44,308
       280	     2,240	       978	     0,000	 65535,000	    28,308	    28,308
       281	     2,248	       962	     0,000	 65535,000	    12,308	    12,308
       282	     2,256	       914	     0,000	 65535,000	   -35,692	   -35,692
